#Frame,Sentiment Label,Sentiment Score
1,Anger,0.39381626
2,Sad,0.37413457
3,Sad,0.38107678
4,Anger,0.42014262
5,Anger,0.36908752
6,Sad,0.46955964
7,Sad,0.5956442
8,Sad,0.7491804
9,Sad,0.57444984
10,Sad,0.6060151
11,Sad,0.6470578
12,Sad,0.6470578
13,Sad,0.52013904
14,Sad,0.71642166
15,Anger,0.3963538
16,Sad,0.48128363
17,Sad,0.6264334
18,Sad,0.4706043
19,Sad,0.5668583
20,Sad,0.61855114
21,Sad,0.5988006
22,Sad,0.82491547
23,Sad,0.7380083
24,Sad,0.8547633
25,Sad,0.6593557
26,Sad,0.62976056
27,Sad,0.45888397
28,Sad,0.49622887
29,Anger,0.40717334
30,Sad,0.5686613
31,Sad,0.45716518
32,Sad,0.6194482
33,Sad,0.5360378
34,Anger,0.38770634
35,Anger,0.42333835
36,Anger,0.37217388
37,Anger,0.37217388
38,Sad,0.5408114
39,Sad,0.50524014
40,Sad,0.5462003
41,Sad,0.39931005
42,Sad,0.47756702
43,Sad,0.6671285
44,Sad,0.6023537
45,Sad,0.61754227
46,Sad,0.6825662
47,Sad,0.6942779
48,Sad,0.7607162
49,Sad,0.56871045
50,Sad,0.65218973
51,Sad,0.75885147
52,Sad,0.68953955
53,Sad,0.62431484
54,Sad,0.7226884
55,Sad,0.8235689
56,Sad,0.8329969
57,Sad,0.79306287
58,Sad,0.8020407
59,Sad,0.8093131
60,Sad,0.6807571
61,Sad,0.7373142
62,Sad,0.8724638
63,Sad,0.8565103
64,Sad,0.8379805
65,Sad,0.8769067
66,Sad,0.8744867
67,Sad,0.8499858
68,Sad,0.80950046
69,Sad,0.780405
70,Sad,0.76771784
71,Sad,0.6917017
72,Sad,0.8175008
73,Sad,0.8305794
74,Sad,0.8709262
75,Sad,0.90199524
76,Sad,0.88632286
77,Sad,0.86039156
78,Sad,0.81642437
79,Sad,0.7864447
80,Sad,0.84099996
81,Sad,0.81293964
82,Sad,0.77479
83,Sad,0.74364686
84,Sad,0.7103032
85,Sad,0.74423766
86,Sad,0.7274296
87,Sad,0.69808245
88,Sad,0.7540265
89,Sad,0.66599673
90,Sad,0.73901045
91,Sad,0.6865664
92,Sad,0.78230894
93,Sad,0.71143043
94,Sad,0.44508204
95,Sad,0.45649177
96,Sad,0.50734335
97,Sad,0.45806488
98,Sad,0.58163315
99,Sad,0.58803594
100,Sad,0.60897714
101,Sad,0.6926174
102,Sad,0.59887815
103,Sad,0.60721594
104,Sad,0.44813994
105,Sad,0.44602174
106,Neutral,0.35048127
107,Neutral,0.36363047
108,Neutral,0.36363047
109,Sad,0.5310361
110,Sad,0.6776363
111,Sad,0.5346517
112,Sad,0.6354283
113,Sad,0.46258286
114,Sad,0.74278563
115,Sad,0.64554304
116,Neutral,0.46998298
117,Neutral,0.4310165
118,Sad,0.67889357
119,Sad,0.5985739
120,Sad,0.6091315
121,Sad,0.4458445
122,Neutral,0.36589497
123,Sad,0.40131837
124,Sad,0.49792606
125,Sad,0.4970912
126,Neutral,0.43531856
127,Neutral,0.43468583
128,Sad,0.5004936
129,Sad,0.77339137
130,Neutral,0.46857455
131,Sad,0.5529103
132,Sad,0.34381023
133,Sad,0.33027747
134,Neutral,0.34743118
135,Surprise,0.7824187
136,Surprise,0.7270242
