#Frame,Sentiment Label,Sentiment Score
1,Happy,0.36194173
2,Happy,0.36194173
3,Happy,0.36194173
4,Happy,0.36194173
5,Happy,0.36194173
6,Happy,0.36194173
7,Happy,0.36194173
8,Happy,0.36194173
9,Happy,0.36194173
10,Happy,0.36194173
11,Happy,0.36194173
12,Happy,0.36194173
13,Happy,0.36194173
14,Happy,0.36194173
15,Happy,0.36194173
16,Happy,0.36194173
17,Happy,0.36194173
18,Happy,0.36194173
19,Happy,0.36194173
20,Happy,0.36194173
21,Happy,0.36194173
22,Happy,0.36194173
23,Happy,0.36194173
24,Happy,0.36194173
25,Happy,0.36194173
26,Happy,0.36194173
27,Happy,0.36194173
28,Happy,0.36194173
29,Happy,0.36194173
30,Happy,0.36194173
31,Happy,0.36194173
32,Happy,0.36194173
33,Happy,0.36194173
34,Happy,0.36194173
35,Happy,0.36194173
36,Happy,0.36194173
